dir_domain,item_type,subdomain,value,unit,citation,createdAt,updatedAt
baseline_other,culture-goods_intensity,hobby-books-magazines,2.39985402,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,entertainment-goods_intensity,hobby-books-magazines,1.570433632,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,sports-goods_intensity,hobby-books-magazines,2.497630942,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,gardening-flower_intensity,hobby-books-magazines,4.85232258,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,pet_intensity,hobby-books-magazines,2.103916343,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,tobacco_intensity,hobby-books-magazines,0.996872147,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,furniture_intensity,appliance-furniture,2.207048567,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,covering_intensity,appliance-furniture,2.512668069,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,cosmetics_intensity,daily-goods-cosmetics-medicine,2.276312315,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,sanitation_intensity,daily-goods-cosmetics-medicine,3.129136419,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,medicine_intensity,daily-goods-cosmetics-medicine,2.132542476,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,kitchen-goods_intensity,daily-goods-cosmetics-medicine,3.23125458,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,paper-stationery_intensity,daily-goods-cosmetics-medicine,3.056810847,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
